cult_uniq,land_uniq,wild_uniq,inter_CW,inter_LW,inter_CL,inter_CLW,HOG
5,9,14,2,2,4,2,N0.HOG0000405
2,3,8,2,2,1,1,N0.HOG0000130
6,9,12,0,1,5,0,N0.HOG0000509
11,13,11,1,1,6,1,N0.HOG0000592
6,5,11,2,2,3,2,N0.HOG0000307
0,4,1,0,0,0,0,N0.HOG0000841
0,0,4,0,0,0,0,N0.HOG0000865
4,4,7,2,1,2,1,N0.HOG0000607
5,9,10,0,0,2,0,N0.HOG0000204
9,11,9,2,3,4,2,N0.HOG0000237
4,8,9,0,1,1,0,N0.HOG0000764
5,8,10,1,2,3,1,N0.HOG0000105
5,10,1,0,0,2,0,N0.HOG0000748
2,1,1,0,0,1,0,N0.HOG0000078
4,6,11,1,2,3,1,N0.HOG0000686
8,10,12,1,2,3,1,N0.HOG0000187
2,6,4,0,0,0,0,N0.HOG0000355
6,5,5,1,2,4,1,N0.HOG0000692
8,11,14,1,1,6,1,N0.HOG0000382
7,4,8,1,1,1,0,N0.HOG0000153
9,9,11,4,4,7,4,N0.HOG0000378
5,10,12,1,1,3,1,N0.HOG0000463
2,4,4,0,0,0,0,N0.HOG0000297
3,7,13,3,4,3,3,N0.HOG0000460
6,10,7,2,3,4,2,N0.HOG0000619
0,1,3,0,0,0,0,N0.HOG0000167
0,1,1,0,0,0,0,N0.HOG0000301
1,7,2,0,0,1,0,N0.HOG0000061
6,5,8,0,0,3,0,N0.HOG0000715
6,10,13,0,1,2,0,N0.HOG0000577
1,2,0,0,0,0,0,N0.HOG0000066
6,12,9,3,3,3,3,N0.HOG0000206
2,6,9,1,1,2,1,N0.HOG0000608
8,7,11,0,1,4,0,N0.HOG0000451
2,3,4,1,2,2,1,N0.HOG0000702
6,7,5,1,2,3,1,N0.HOG0000100
8,10,12,1,1,3,1,N0.HOG0000181
0,0,6,0,0,0,0,N0.HOG0000850
1,1,1,1,1,1,1,N0.HOG0000290
1,2,2,0,0,1,0,N0.HOG0000803
1,7,2,0,0,1,0,N0.HOG0000025
12,13,16,1,2,4,0,N0.HOG0000407
5,7,10,1,2,4,1,N0.HOG0000568
4,7,12,1,2,1,1,N0.HOG0000629
4,2,2,2,1,2,1,N0.HOG0000683
0,2,0,0,0,0,0,N0.HOG0000889
0,1,1,0,0,0,0,N0.HOG0000379
12,17,12,0,0,2,0,N0.HOG0000668
4,4,1,1,1,3,1,N0.HOG0000761
0,3,1,0,0,0,0,N0.HOG0000175
7,11,11,1,2,3,1,N0.HOG0000627
3,2,1,1,1,2,1,N0.HOG0000816
0,1,2,0,0,0,0,N0.HOG0000044
9,6,11,3,3,5,3,N0.HOG0000493
6,6,9,2,2,4,2,N0.HOG0000620
12,21,12,0,0,7,0,N0.HOG0000391
0,1,0,0,0,0,0,N0.HOG0000352
0,6,6,0,2,0,0,N0.HOG0000812
6,6,9,2,2,4,2,N0.HOG0000602
2,8,8,1,3,2,1,N0.HOG0000598
3,3,1,0,1,1,0,N0.HOG0000783
4,7,11,1,3,4,1,N0.HOG0000454
4,4,7,0,0,2,0,N0.HOG0000750
2,3,6,1,1,1,1,N0.HOG0000776
4,5,7,1,1,3,1,N0.HOG0000730
8,8,12,1,1,4,1,N0.HOG0000587
1,1,1,0,0,0,0,N0.HOG0000845
3,6,8,2,3,2,2,N0.HOG0000712
2,0,1,0,0,0,0,N0.HOG0000029
1,1,1,0,0,1,0,N0.HOG0000872
3,5,5,0,0,2,0,N0.HOG0000268
1,0,1,0,0,0,0,N0.HOG0000322
0,1,2,0,0,0,0,N0.HOG0000134
1,3,2,1,1,1,1,N0.HOG0000763
0,0,1,0,0,0,0,N0.HOG0000186
0,0,1,0,0,0,0,N0.HOG0000152
0,1,0,0,0,0,0,N0.HOG0000338
5,8,11,1,3,2,1,N0.HOG0000490
1,1,1,0,0,0,0,N0.HOG0000846
4,4,7,1,0,1,0,N0.HOG0000679
2,4,2,0,0,2,0,N0.HOG0000831
1,1,0,0,0,0,0,N0.HOG0000030
4,3,4,0,0,1,0,N0.HOG0000794
3,2,8,2,2,2,2,N0.HOG0000497
2,0,0,0,0,0,0,N0.HOG0000028
0,1,0,0,0,0,0,N0.HOG0000383
8,7,9,3,4,5,3,N0.HOG0000649
5,7,13,1,2,5,1,N0.HOG0000413
7,16,10,0,1,2,0,N0.HOG0000282
7,9,8,1,2,3,1,N0.HOG0000676
3,6,3,0,0,2,0,N0.HOG0000006
3,4,6,0,1,3,0,N0.HOG0000661
5,6,11,1,1,2,1,N0.HOG0000508
6,5,11,1,1,3,1,N0.HOG0000219
0,0,4,0,0,0,0,N0.HOG0000390
3,4,9,1,2,2,1,N0.HOG0000503
8,7,12,3,4,4,2,N0.HOG0000148
3,2,7,0,0,1,0,N0.HOG0000162
2,2,6,1,1,1,1,N0.HOG0000732
4,7,1,0,0,1,0,N0.HOG0000034
1,0,1,0,0,0,0,N0.HOG0000883
4,5,5,0,0,2,0,N0.HOG0000787
3,10,12,1,3,2,1,N0.HOG0000623
6,7,3,1,0,2,0,N0.HOG0000253
9,6,3,1,1,5,1,N0.HOG0000241
1,1,3,0,0,1,0,N0.HOG0000396
6,12,10,1,1,4,1,N0.HOG0000654
8,16,13,0,1,5,0,N0.HOG0000553
8,12,11,1,3,5,1,N0.HOG0000258
6,6,11,3,3,5,3,N0.HOG0000517
8,13,14,0,0,2,0,N0.HOG0000285
5,5,10,1,1,4,1,N0.HOG0000487
6,5,12,1,2,2,1,N0.HOG0000449
1,0,1,0,0,0,0,N0.HOG0000873
8,8,14,0,1,5,0,N0.HOG0000446
7,8,5,0,1,4,0,N0.HOG0000280
10,8,7,1,1,6,1,N0.HOG0000694
10,14,13,1,1,4,1,N0.HOG0000635
5,5,7,1,1,4,1,N0.HOG0000065
0,0,2,0,0,0,0,N0.HOG0000894
2,5,7,1,3,1,1,N0.HOG0000718
16,12,13,3,3,7,3,N0.HOG0000343
1,5,2,0,0,1,0,N0.HOG0000809
10,11,11,5,5,7,5,N0.HOG0000538
2,4,7,2,2,2,2,N0.HOG0000480
4,7,10,2,3,3,1,N0.HOG0000525
0,1,0,0,0,0,0,N0.HOG0000009
5,6,7,3,2,3,2,N0.HOG0000147
3,6,6,0,0,2,0,N0.HOG0000350
1,3,2,0,0,1,0,N0.HOG0000397
3,5,2,0,0,1,0,N0.HOG0000795
6,6,3,1,1,4,1,N0.HOG0000063
2,1,3,1,0,1,0,N0.HOG0000822
2,7,15,2,4,2,2,N0.HOG0000398
3,8,14,1,2,3,1,N0.HOG0000425
2,3,7,1,2,2,1,N0.HOG0000636
0,1,1,0,0,0,0,N0.HOG0000890
9,10,13,0,1,5,0,N0.HOG0000406
2,4,4,1,2,1,1,N0.HOG0000260
13,26,17,1,3,4,1,N0.HOG0000324
8,6,3,2,2,3,2,N0.HOG0000741
3,3,3,1,1,2,1,N0.HOG0000737
4,5,2,0,0,0,0,N0.HOG0000216
11,10,10,2,1,5,1,N0.HOG0000049
14,20,14,0,1,5,0,N0.HOG0000155
2,1,3,0,1,0,0,N0.HOG0000364
2,5,9,2,3,2,2,N0.HOG0000499
2,4,6,0,1,2,0,N0.HOG0000601
12,11,6,1,2,3,0,N0.HOG0000108
2,2,3,0,0,2,0,N0.HOG0000067
9,16,10,0,0,4,0,N0.HOG0000292
4,7,4,0,0,3,0,N0.HOG0000687
5,4,6,0,0,2,0,N0.HOG0000755
13,22,34,2,5,6,2,N0.HOG0000224
7,8,6,1,0,5,0,N0.HOG0000374
5,5,11,1,1,4,1,N0.HOG0000496
7,12,11,3,2,5,2,N0.HOG0000569
0,0,1,0,0,0,0,N0.HOG0000012
13,6,4,2,2,5,2,N0.HOG0000673
3,9,5,1,3,3,1,N0.HOG0000349
4,11,13,0,2,4,0,N0.HOG0000603
0,1,1,0,0,0,0,N0.HOG0000332
2,2,1,0,0,1,0,N0.HOG0000819
3,3,5,0,1,2,0,N0.HOG0000782
14,12,11,2,2,5,2,N0.HOG0000421
0,2,3,0,1,0,0,N0.HOG0000827
3,4,4,1,1,1,1,N0.HOG0000778
6,12,10,1,2,4,1,N0.HOG0000448
2,2,6,0,1,1,0,N0.HOG0000325
3,2,1,1,1,2,1,N0.HOG0000230
4,2,5,2,1,2,1,N0.HOG0000740
5,9,8,3,3,4,3,N0.HOG0000655
5,6,10,1,1,3,1,N0.HOG0000223
4,9,6,0,1,1,0,N0.HOG0000103
4,6,3,0,0,2,0,N0.HOG0000161
0,0,3,0,0,0,0,N0.HOG0000880
9,10,19,4,5,6,4,N0.HOG0000171
9,11,7,1,1,4,0,N0.HOG0000678
4,6,10,1,1,2,1,N0.HOG0000507
2,3,4,1,1,1,1,N0.HOG0000131
0,1,0,0,0,0,0,N0.HOG0000081
0,0,1,0,0,0,0,N0.HOG0000055
5,5,10,1,1,2,1,N0.HOG0000220
5,7,9,1,1,2,1,N0.HOG0000092
0,1,1,0,0,0,0,N0.HOG0000248
5,7,3,0,1,2,0,N0.HOG0000083
4,8,9,0,0,3,0,N0.HOG0000614
7,17,8,1,2,4,1,N0.HOG0000414
12,11,8,1,1,6,1,N0.HOG0000662
1,1,2,0,0,0,0,N0.HOG0000041
1,0,1,0,0,0,0,N0.HOG0000885
0,0,1,0,0,0,0,N0.HOG0000232
6,11,11,1,1,2,1,N0.HOG0000254
4,4,9,0,1,1,0,N0.HOG0000751
6,6,11,2,2,3,0,N0.HOG0000540
9,8,7,0,0,4,0,N0.HOG0000723
1,2,2,1,1,1,1,N0.HOG0000069
1,1,1,1,1,1,1,N0.HOG0000745
5,6,4,0,0,2,0,N0.HOG0000790
6,10,10,0,0,5,0,N0.HOG0000639
2,3,3,1,2,1,1,N0.HOG0000719
2,0,0,0,0,0,0,N0.HOG0000882
6,12,12,2,2,4,2,N0.HOG0000483
8,12,10,4,5,6,4,N0.HOG0000488
2,5,1,1,1,2,1,N0.HOG0000770
7,7,12,1,1,4,1,N0.HOG0000462
5,9,7,1,1,2,1,N0.HOG0000693
6,9,8,2,2,3,1,N0.HOG0000586
11,9,15,1,1,4,1,N0.HOG0000710
4,5,7,1,1,2,1,N0.HOG0000184
6,11,11,2,2,4,2,N0.HOG0000071
2,3,7,0,0,1,0,N0.HOG0000412
8,9,7,3,3,5,3,N0.HOG0000276
2,2,6,0,0,2,0,N0.HOG0000743
0,1,0,0,0,0,0,N0.HOG0000262
0,0,1,0,0,0,0,N0.HOG0000238
5,2,2,0,0,2,0,N0.HOG0000050
9,9,11,0,0,1,0,N0.HOG0000018
4,8,6,1,1,2,1,N0.HOG0000323
0,0,2,0,0,0,0,N0.HOG0000336
5,13,10,1,2,3,1,N0.HOG0000137
2,1,5,1,1,1,1,N0.HOG0000744
3,5,8,2,2,3,2,N0.HOG0000385
1,1,1,1,1,1,1,N0.HOG0000796
0,0,2,0,0,0,0,N0.HOG0000896
0,0,2,0,0,0,0,N0.HOG0000897
3,3,1,1,1,2,1,N0.HOG0000769
10,13,9,1,1,2,1,N0.HOG0000617
4,4,12,1,1,3,1,N0.HOG0000445
4,0,0,0,0,0,0,N0.HOG0000177
5,3,4,1,1,2,0,N0.HOG0000298
5,7,6,1,1,2,1,N0.HOG0000739
8,7,7,2,1,5,1,N0.HOG0000098
5,2,3,1,0,2,0,N0.HOG0000410
8,9,11,0,1,3,0,N0.HOG0000246
5,4,8,0,1,2,0,N0.HOG0000709
5,8,7,1,3,4,1,N0.HOG0000625
3,8,12,0,2,2,0,N0.HOG0000575
2,2,2,1,1,1,1,N0.HOG0000731
0,0,4,0,0,0,0,N0.HOG0000133
0,4,4,0,0,0,0,N0.HOG0000294
6,11,12,1,2,4,1,N0.HOG0000439
1,4,4,0,0,1,0,N0.HOG0000802
6,4,11,0,0,4,0,N0.HOG0000479
6,6,8,1,2,5,1,N0.HOG0000615
2,9,3,0,0,0,0,N0.HOG0000023
1,2,4,0,1,1,0,N0.HOG0000788
4,6,11,2,2,3,1,N0.HOG0000647
5,6,7,2,2,4,2,N0.HOG0000193
4,3,7,3,2,3,2,N0.HOG0000559
7,12,11,1,2,6,1,N0.HOG0000404
9,4,4,1,1,3,1,N0.HOG0000747
1,1,0,0,0,0,0,N0.HOG0000420
8,13,11,4,4,8,4,N0.HOG0000604
0,0,4,0,0,0,0,N0.HOG0000076
7,6,11,3,3,5,3,N0.HOG0000485
1,2,8,0,0,1,0,N0.HOG0000070
0,2,1,0,0,0,0,N0.HOG0000036
2,1,6,0,0,0,0,N0.HOG0000017
1,2,0,0,0,0,0,N0.HOG0000118
8,6,11,1,1,2,0,N0.HOG0000651
3,2,5,1,1,2,1,N0.HOG0000502
8,9,9,3,3,3,2,N0.HOG0000597
9,13,12,4,3,6,3,N0.HOG0000561
6,5,12,3,3,5,3,N0.HOG0000474
3,5,4,0,0,2,0,N0.HOG0000729
5,15,13,1,2,3,1,N0.HOG0000140
0,0,1,0,0,0,0,N0.HOG0000075
1,2,3,0,0,1,0,N0.HOG0000411
6,4,13,1,2,2,1,N0.HOG0000129
5,7,10,2,5,3,2,N0.HOG0000149
3,3,4,2,2,2,2,N0.HOG0000660
6,4,2,2,2,4,2,N0.HOG0000760
11,28,18,2,5,7,2,N0.HOG0000274
5,8,3,1,1,5,1,N0.HOG0000726
2,2,8,1,1,2,1,N0.HOG0000606
0,1,2,0,1,0,0,N0.HOG0000838
3,2,4,1,1,0,0,N0.HOG0000110
0,1,1,0,1,0,0,N0.HOG0000854
7,8,11,1,1,3,1,N0.HOG0000166
2,2,1,1,1,1,1,N0.HOG0000356
2,4,5,0,1,2,0,N0.HOG0000756
9,14,17,1,3,5,1,N0.HOG0000261
5,6,4,0,0,3,0,N0.HOG0000353
0,0,1,0,0,0,0,N0.HOG0000363
2,6,10,0,2,1,0,N0.HOG0000680
6,10,13,1,1,4,1,N0.HOG0000530
2,3,4,0,0,0,0,N0.HOG0000829
6,9,5,0,0,2,0,N0.HOG0000308
6,9,13,2,2,4,2,N0.HOG0000441
9,9,1,0,0,1,0,N0.HOG0000039
10,7,7,1,1,6,1,N0.HOG0000159
3,2,9,0,0,2,0,N0.HOG0000115
3,4,12,0,1,1,0,N0.HOG0000590
6,8,12,2,2,5,2,N0.HOG0000583
1,1,1,1,1,1,1,N0.HOG0000313
8,13,6,1,3,5,1,N0.HOG0000173
3,5,9,2,2,2,1,N0.HOG0000622
1,3,4,1,1,1,1,N0.HOG0000767
2,2,3,0,0,1,0,N0.HOG0000774
0,2,0,0,0,0,0,N0.HOG0000143
10,9,4,0,0,4,0,N0.HOG0000717
7,11,11,3,3,5,3,N0.HOG0000447
8,10,8,0,1,4,0,N0.HOG0000085
4,7,6,2,3,4,2,N0.HOG0000091
13,10,11,0,2,5,0,N0.HOG0000185
9,7,11,1,2,5,1,N0.HOG0000612
4,4,6,1,2,1,1,N0.HOG0000389
6,8,8,2,1,3,1,N0.HOG0000288
6,15,10,1,2,4,1,N0.HOG0000582
2,4,8,2,3,2,2,N0.HOG0000471
1,2,1,1,1,1,1,N0.HOG0000113
5,8,6,1,2,4,1,N0.HOG0000684
5,8,6,0,0,5,0,N0.HOG0000047
1,2,4,0,0,1,0,N0.HOG0000384
6,10,10,0,0,3,0,N0.HOG0000468
2,1,3,0,0,0,0,N0.HOG0000002
3,6,9,1,2,3,1,N0.HOG0000489
3,2,2,1,1,2,1,N0.HOG0000811
5,6,2,0,0,2,0,N0.HOG0000122
3,3,2,2,1,2,1,N0.HOG0000264
3,5,10,0,1,1,0,N0.HOG0000132
1,0,1,0,0,0,0,N0.HOG0000087
11,11,12,2,2,5,2,N0.HOG0000135
8,16,17,0,2,5,0,N0.HOG0000111
4,11,7,0,1,4,0,N0.HOG0000669
4,6,8,1,1,1,1,N0.HOG0000656
19,29,7,0,2,5,0,N0.HOG0000015
8,6,3,0,0,3,0,N0.HOG0000102
5,5,11,2,1,3,1,N0.HOG0000548
2,3,6,2,2,2,2,N0.HOG0000504
5,7,8,2,2,2,2,N0.HOG0000331
2,3,4,0,1,1,0,N0.HOG0000287
0,0,4,0,0,0,0,N0.HOG0000859
2,8,12,1,2,2,1,N0.HOG0000516
19,16,12,0,1,4,0,N0.HOG0000107
6,6,7,2,2,5,2,N0.HOG0000064
2,1,3,1,1,0,0,N0.HOG0000344
7,11,11,1,1,3,1,N0.HOG0000585
10,16,11,2,2,5,2,N0.HOG0000611
2,1,2,0,0,1,0,N0.HOG0000360
1,2,1,0,0,0,0,N0.HOG0000863
8,10,13,3,3,6,2,N0.HOG0000418
0,0,2,0,0,0,0,N0.HOG0000270
0,2,0,0,0,0,0,N0.HOG0000056
7,11,13,2,2,3,1,N0.HOG0000428
0,2,18,0,1,0,0,N0.HOG0000785
2,2,6,1,2,1,1,N0.HOG0000653
1,0,0,0,0,0,0,N0.HOG0000045
9,10,11,0,2,4,0,N0.HOG0000244
10,10,13,0,0,4,0,N0.HOG0000565
8,11,14,3,1,5,1,N0.HOG0000665
7,16,11,2,2,4,2,N0.HOG0000638
3,2,0,0,0,0,0,N0.HOG0000178
3,2,1,0,0,1,0,N0.HOG0000752
9,14,11,1,2,7,1,N0.HOG0000547
7,3,4,1,1,2,1,N0.HOG0000727
21,17,7,0,1,3,0,N0.HOG0000010
1,2,3,0,0,0,0,N0.HOG0000255
5,9,5,2,2,3,2,N0.HOG0000735
1,0,1,0,0,0,0,N0.HOG0000027
1,0,1,0,0,0,0,N0.HOG0000887
3,6,7,0,0,3,0,N0.HOG0000600
1,3,3,0,0,0,0,N0.HOG0000024
2,3,5,2,2,2,2,N0.HOG0000511
8,12,12,2,4,4,2,N0.HOG0000557
1,0,5,0,0,0,0,N0.HOG0000182
7,5,10,1,1,3,0,N0.HOG0000705
2,2,5,1,1,2,1,N0.HOG0000506
1,1,2,0,0,0,0,N0.HOG0000860
1,4,9,1,2,1,1,N0.HOG0000560
0,0,4,0,0,0,0,N0.HOG0000864
7,7,9,2,2,4,2,N0.HOG0000495
0,0,2,0,0,0,0,N0.HOG0000900
6,6,12,1,1,4,1,N0.HOG0000498
9,10,11,1,1,5,0,N0.HOG0000628
6,7,6,1,1,3,1,N0.HOG0000380
5,5,4,1,1,3,1,N0.HOG0000080
5,7,4,0,2,2,0,N0.HOG0000310
1,1,1,0,0,1,0,N0.HOG0000304
5,9,6,0,1,1,0,N0.HOG0000043
2,6,7,2,2,2,2,N0.HOG0000563
4,7,9,1,2,3,1,N0.HOG0000624
10,8,9,0,1,4,0,N0.HOG0000073
7,9,9,3,3,5,3,N0.HOG0000476
11,24,18,0,0,6,0,N0.HOG0000263
4,5,11,3,3,4,3,N0.HOG0000481
8,13,9,3,4,5,3,N0.HOG0000671
3,6,9,1,3,2,1,N0.HOG0000510
0,0,2,0,0,0,0,N0.HOG0000893
7,9,11,1,3,4,1,N0.HOG0000478
11,14,13,4,5,8,4,N0.HOG0000572
6,4,9,1,1,3,1,N0.HOG0000720
1,2,0,0,0,0,0,N0.HOG0000033
8,12,14,4,4,6,4,N0.HOG0000430
4,5,2,0,0,2,0,N0.HOG0000362
4,7,8,0,0,1,0,N0.HOG0000293
6,7,7,2,2,3,2,N0.HOG0000618
1,4,4,1,2,1,1,N0.HOG0000333
2,8,3,2,3,2,2,N0.HOG0000128
1,3,5,0,0,0,0,N0.HOG0000077
9,7,13,3,2,6,2,N0.HOG0000318
2,2,10,0,1,1,0,N0.HOG0000757
5,4,8,1,1,3,1,N0.HOG0000552
4,5,10,0,2,2,0,N0.HOG0000594
1,1,3,1,1,1,1,N0.HOG0000835
8,8,7,1,1,2,1,N0.HOG0000667
6,19,15,4,3,4,3,N0.HOG0000373
1,0,0,0,0,0,0,N0.HOG0000886
1,1,0,0,0,0,0,N0.HOG0000106
15,7,13,2,3,4,2,N0.HOG0000674
6,5,6,1,1,5,1,N0.HOG0000609
3,1,4,0,0,1,0,N0.HOG0000824
4,5,7,3,3,3,3,N0.HOG0000144
0,1,1,0,0,0,0,N0.HOG0000271
8,12,11,3,4,6,3,N0.HOG0000528
1,2,2,0,0,1,0,N0.HOG0000054
3,7,7,1,3,3,1,N0.HOG0000546
0,0,2,0,0,0,0,N0.HOG0000234
6,5,3,2,2,4,2,N0.HOG0000753
4,6,7,1,2,2,1,N0.HOG0000584
7,6,11,2,2,4,1,N0.HOG0000650
1,1,2,1,1,1,1,N0.HOG0000239
13,17,3,0,0,6,0,N0.HOG0000019
2,1,0,0,0,1,0,N0.HOG0000172
6,5,13,1,2,3,1,N0.HOG0000537
4,8,4,0,0,1,0,N0.HOG0000190
8,4,1,0,1,1,0,N0.HOG0000321
14,24,9,1,2,7,1,N0.HOG0000306
6,10,12,2,3,5,2,N0.HOG0000610
4,4,12,0,1,3,0,N0.HOG0000473
4,10,8,0,0,2,0,N0.HOG0000766
4,12,9,0,2,2,0,N0.HOG0000042
1,2,2,0,0,0,0,N0.HOG0000218
1,2,3,1,1,1,1,N0.HOG0000330
5,4,8,1,1,2,1,N0.HOG0000555
4,6,3,0,0,2,0,N0.HOG0000810
22,33,24,0,0,6,0,N0.HOG0000291
1,3,1,0,0,1,0,N0.HOG0000821
6,8,8,1,2,4,1,N0.HOG0000388
12,19,20,1,4,2,1,N0.HOG0000394
1,4,7,0,0,0,0,N0.HOG0000213
4,7,9,1,3,1,1,N0.HOG0000648
7,9,11,3,2,3,2,N0.HOG0000210
8,13,8,2,2,2,1,N0.HOG0000057
4,5,5,1,1,3,1,N0.HOG0000337
10,14,16,2,3,4,2,N0.HOG0000399
0,0,3,0,0,0,0,N0.HOG0000275
1,2,3,1,1,1,1,N0.HOG0000800
1,1,2,0,0,0,0,N0.HOG0000436
3,3,3,0,1,2,0,N0.HOG0000088
