cult_uniq,land_uniq,wild_uniq,inter_CW,inter_LW,inter_CL,inter_CLW,HOG
0,0,2,0,0,0,0,N0.HOG0000901
0,2,1,0,0,0,0,N0.HOG0000093
0,0,2,0,0,0,0,N0.HOG0000014
1,1,2,1,1,1,1,N0.HOG0000738
3,2,9,0,0,2,0,N0.HOG0000222
5,6,13,1,2,4,1,N0.HOG0000571
0,0,1,0,0,0,0,N0.HOG0000165
1,0,3,0,0,0,0,N0.HOG0000856
8,12,10,1,1,4,0,N0.HOG0000243
6,9,4,0,0,3,0,N0.HOG0000123
1,0,1,0,0,0,0,N0.HOG0000259
2,3,2,0,0,1,0,N0.HOG0000068
16,13,13,3,2,6,1,N0.HOG0000542
5,6,3,1,1,4,1,N0.HOG0000269
1,2,1,0,1,1,0,N0.HOG0000836
1,3,3,1,1,1,1,N0.HOG0000825
0,1,0,0,0,0,0,N0.HOG0000250
4,7,10,0,1,3,0,N0.HOG0000432
8,8,13,2,2,5,2,N0.HOG0000342
4,5,10,2,1,2,1,N0.HOG0000621
0,0,3,0,0,0,0,N0.HOG0000126
3,7,13,1,1,2,1,N0.HOG0000519
12,13,12,2,2,7,2,N0.HOG0000464
0,0,1,0,0,0,0,N0.HOG0000357
1,1,4,0,0,1,0,N0.HOG0000341
0,0,2,0,0,0,0,N0.HOG0000899
0,0,2,0,0,0,0,N0.HOG0000878
6,6,12,2,2,3,2,N0.HOG0000455
2,11,2,1,1,1,1,N0.HOG0000366
2,1,2,1,0,0,0,N0.HOG0000818
5,7,22,3,3,3,2,N0.HOG0000266
11,9,10,2,1,6,1,N0.HOG0000500
0,0,5,0,0,0,0,N0.HOG0000035
0,0,2,0,0,0,0,N0.HOG0000877
10,16,7,0,0,3,0,N0.HOG0000037
4,6,2,0,0,4,0,N0.HOG0000329
7,6,6,0,1,2,0,N0.HOG0000089
3,4,0,0,0,3,0,N0.HOG0000340
1,1,2,0,0,0,0,N0.HOG0000256
7,5,9,0,0,4,0,N0.HOG0000361
9,11,10,0,1,5,0,N0.HOG0000643
6,5,12,1,2,2,1,N0.HOG0000419
2,4,10,0,1,2,0,N0.HOG0000613
0,1,2,0,0,0,0,N0.HOG0000874
6,6,6,1,0,3,0,N0.HOG0000698
2,4,5,1,1,2,1,N0.HOG0000423
1,1,1,0,0,0,0,N0.HOG0000867
2,2,3,0,0,0,0,N0.HOG0000840
4,9,6,0,1,2,0,N0.HOG0000021
0,2,0,0,0,0,0,N0.HOG0000201
12,11,14,1,2,5,1,N0.HOG0000465
9,17,4,1,1,5,1,N0.HOG0000664
5,7,9,0,2,3,0,N0.HOG0000458
7,8,9,2,2,4,2,N0.HOG0000593
6,5,9,1,1,2,1,N0.HOG0000682
9,6,13,0,0,5,0,N0.HOG0000160
9,9,10,2,2,3,2,N0.HOG0000486
9,8,1,0,0,1,0,N0.HOG0000003
4,5,8,1,2,3,1,N0.HOG0000666
1,3,4,0,0,1,0,N0.HOG0000820
0,1,0,0,0,0,0,N0.HOG0000245
9,13,7,0,0,3,0,N0.HOG0000104
0,4,2,0,1,0,0,N0.HOG0000000
0,1,1,0,0,0,0,N0.HOG0000168
8,11,14,1,3,6,1,N0.HOG0000630
2,5,10,1,2,2,1,N0.HOG0000722
6,9,6,0,0,2,0,N0.HOG0000700
4,5,5,0,0,2,0,N0.HOG0000215
1,1,3,1,0,0,0,N0.HOG0000855
3,3,5,2,2,2,2,N0.HOG0000309
9,11,7,0,1,5,0,N0.HOG0000633
0,0,3,0,0,0,0,N0.HOG0000881
4,7,10,3,3,4,3,N0.HOG0000531
3,8,3,1,1,3,1,N0.HOG0000084
6,6,18,1,1,2,1,N0.HOG0000697
1,3,3,0,0,1,0,N0.HOG0000830
5,9,11,2,1,4,1,N0.HOG0000053
0,1,1,0,0,0,0,N0.HOG0000022
6,10,13,3,5,5,3,N0.HOG0000393
8,9,11,1,1,6,1,N0.HOG0000544
0,1,0,0,0,0,0,N0.HOG0000209
12,14,13,0,1,5,0,N0.HOG0000470
8,11,8,0,0,4,0,N0.HOG0000663
2,2,0,0,0,0,0,N0.HOG0000142
1,4,7,1,1,1,1,N0.HOG0000814
0,2,1,0,1,0,0,N0.HOG0000853
6,12,10,1,2,4,1,N0.HOG0000574
0,1,2,0,1,0,0,N0.HOG0000870
11,14,15,0,0,4,0,N0.HOG0000402
10,11,10,1,0,3,0,N0.HOG0000566
4,4,9,1,2,2,1,N0.HOG0000695
4,9,5,0,0,3,0,N0.HOG0000013
0,0,3,0,0,0,0,N0.HOG0000879
5,7,13,2,3,3,2,N0.HOG0000536
0,1,0,0,0,0,0,N0.HOG0000016
11,10,14,1,1,5,0,N0.HOG0000151
0,0,1,0,0,0,0,N0.HOG0000902
6,12,11,2,2,4,2,N0.HOG0000640
4,5,10,1,1,4,1,N0.HOG0000124
6,7,8,1,1,4,1,N0.HOG0000711
0,4,9,0,0,0,0,N0.HOG0000813
7,9,11,2,3,5,2,N0.HOG0000522
2,1,3,1,0,0,0,N0.HOG0000828
3,2,1,0,0,2,0,N0.HOG0000801
5,5,7,1,2,2,1,N0.HOG0000279
10,14,13,2,2,8,2,N0.HOG0000466
3,2,4,0,0,1,0,N0.HOG0000793
6,9,10,1,1,4,1,N0.HOG0000596
1,4,1,0,0,0,0,N0.HOG0000848
5,6,10,2,3,3,2,N0.HOG0000529
2,8,6,1,1,2,1,N0.HOG0000295
5,3,7,1,1,2,1,N0.HOG0000315
7,7,12,0,1,4,0,N0.HOG0000513
3,2,3,1,1,2,1,N0.HOG0000231
2,2,0,0,0,2,0,N0.HOG0000240
5,6,10,1,2,4,1,N0.HOG0000492
3,6,4,1,2,2,1,N0.HOG0000198
6,7,11,3,1,3,1,N0.HOG0000482
3,5,8,2,2,3,2,N0.HOG0000543
6,12,11,0,0,4,0,N0.HOG0000523
9,8,12,1,2,2,1,N0.HOG0000521
9,11,9,2,2,6,2,N0.HOG0000632
11,12,15,2,2,4,2,N0.HOG0000401
4,4,5,3,3,3,3,N0.HOG0000605
4,4,9,1,1,2,1,N0.HOG0000249
8,7,5,2,2,5,2,N0.HOG0000691
3,4,7,0,1,1,0,N0.HOG0000095
1,1,0,0,0,1,0,N0.HOG0000868
1,0,3,0,0,0,0,N0.HOG0000861
3,5,7,3,3,3,3,N0.HOG0000713
5,9,11,0,0,3,0,N0.HOG0000535
0,0,2,0,0,0,0,N0.HOG0000904
10,15,12,0,2,4,0,N0.HOG0000501
11,14,9,1,0,5,0,N0.HOG0000169
0,3,0,0,0,0,0,N0.HOG0000164
7,10,10,2,2,4,2,N0.HOG0000205
2,5,8,2,2,2,2,N0.HOG0000562
7,6,6,2,2,4,2,N0.HOG0000345
9,15,11,1,1,6,1,N0.HOG0000520
6,7,11,1,1,2,1,N0.HOG0000459
0,0,1,0,0,0,0,N0.HOG0000225
5,4,9,3,2,3,2,N0.HOG0000453
2,2,2,1,0,1,0,N0.HOG0000059
2,1,1,0,0,1,0,N0.HOG0000815
2,8,9,0,0,1,0,N0.HOG0000004
9,9,11,3,3,5,3,N0.HOG0000484
1,4,1,0,0,1,0,N0.HOG0000842
10,10,21,2,2,3,1,N0.HOG0000369
1,1,3,0,0,1,0,N0.HOG0000170
0,0,2,0,0,0,0,N0.HOG0000903
5,4,10,2,2,3,2,N0.HOG0000532
7,8,12,2,2,5,2,N0.HOG0000515
0,1,0,0,0,0,0,N0.HOG0000007
3,3,4,0,0,1,0,N0.HOG0000005
4,6,6,1,2,4,1,N0.HOG0000212
4,6,8,3,3,4,3,N0.HOG0000526
5,7,12,1,1,3,1,N0.HOG0000438
8,9,13,0,0,1,0,N0.HOG0000189
5,6,14,0,0,1,0,N0.HOG0000174
5,10,6,0,2,4,0,N0.HOG0000127
2,2,8,0,1,1,0,N0.HOG0000758
3,2,1,0,0,1,0,N0.HOG0000834
6,11,12,0,1,2,0,N0.HOG0000703
5,9,5,1,1,3,1,N0.HOG0000707
2,3,3,1,2,1,1,N0.HOG0000792
5,7,7,2,2,4,2,N0.HOG0000456
0,1,1,0,0,0,0,N0.HOG0000387
6,3,8,2,2,3,2,N0.HOG0000706
0,1,1,0,1,0,0,N0.HOG0000214
2,4,7,1,2,2,1,N0.HOG0000541
8,13,11,1,0,6,0,N0.HOG0000208
0,0,2,0,0,0,0,N0.HOG0000099
8,7,9,3,1,5,1,N0.HOG0000588
7,4,4,0,0,3,0,N0.HOG0000286
11,11,11,1,1,6,0,N0.HOG0000101
2,2,1,0,0,1,0,N0.HOG0000832
3,3,6,1,2,1,1,N0.HOG0000775
7,8,12,2,2,6,2,N0.HOG0000444
3,7,7,0,1,3,0,N0.HOG0000742
1,2,0,0,0,1,0,N0.HOG0000251
4,5,12,2,4,2,2,N0.HOG0000551
3,10,11,1,2,2,1,N0.HOG0000443
0,1,1,0,0,0,0,N0.HOG0000031
3,1,6,1,1,1,1,N0.HOG0000724
1,1,0,0,0,0,0,N0.HOG0000176
4,4,8,3,3,3,3,N0.HOG0000289
4,3,2,0,0,2,0,N0.HOG0000082
1,2,0,0,0,0,0,N0.HOG0000808
3,4,6,0,2,1,0,N0.HOG0000112
7,5,8,4,4,4,4,N0.HOG0000699
2,3,5,1,2,1,1,N0.HOG0000236
3,6,7,0,1,1,0,N0.HOG0000514
5,11,3,1,0,1,0,N0.HOG0000026
8,9,7,1,2,4,1,N0.HOG0000641
11,7,24,2,2,5,2,N0.HOG0000370
2,6,5,1,2,1,1,N0.HOG0000119
8,9,8,2,2,6,2,N0.HOG0000634
7,9,9,3,3,5,3,N0.HOG0000558
0,0,1,0,0,0,0,N0.HOG0000157
11,15,13,2,2,6,1,N0.HOG0000442
9,9,9,3,2,1,1,N0.HOG0000200
2,0,0,0,0,0,0,N0.HOG0000272
5,5,2,0,0,3,0,N0.HOG0000347
4,9,10,2,2,4,2,N0.HOG0000395
4,5,3,2,1,2,1,N0.HOG0000265
6,5,7,1,1,3,1,N0.HOG0000136
4,5,7,0,0,3,0,N0.HOG0000749
4,8,3,0,0,2,0,N0.HOG0000281
3,3,5,1,1,1,1,N0.HOG0000728
2,0,1,0,0,0,0,N0.HOG0000008
1,1,1,0,0,0,0,N0.HOG0000257
3,5,4,0,1,0,0,N0.HOG0000817
1,1,1,0,0,1,0,N0.HOG0000847
8,10,10,0,0,5,0,N0.HOG0000207
7,11,7,0,0,3,0,N0.HOG0000708
8,9,12,2,4,5,2,N0.HOG0000437
0,2,1,0,0,0,0,N0.HOG0000145
0,0,4,0,0,0,0,N0.HOG0000866
0,4,2,0,0,0,0,N0.HOG0000303
4,5,6,1,2,2,1,N0.HOG0000146
1,1,2,0,0,0,0,N0.HOG0000851
5,10,12,1,3,4,1,N0.HOG0000591
2,7,8,2,3,2,2,N0.HOG0000595
1,2,3,0,1,0,0,N0.HOG0000833
0,1,1,0,0,0,0,N0.HOG0000326
1,2,0,0,0,1,0,N0.HOG0000823
4,5,8,1,1,2,1,N0.HOG0000163
8,9,10,2,3,5,2,N0.HOG0000211
10,13,13,0,1,5,0,N0.HOG0000427
7,8,4,0,1,2,0,N0.HOG0000354
7,0,1,0,0,0,0,N0.HOG0000032
5,6,11,1,2,1,1,N0.HOG0000644
9,7,14,1,2,4,1,N0.HOG0000415
6,10,8,1,2,4,1,N0.HOG0000652
4,5,9,1,3,2,1,N0.HOG0000417
5,5,10,2,2,3,2,N0.HOG0000533
2,6,7,0,1,1,0,N0.HOG0000086
1,1,2,0,1,0,0,N0.HOG0000217
6,9,12,0,2,5,0,N0.HOG0000477
1,4,12,0,0,1,0,N0.HOG0000721
3,7,8,1,2,2,1,N0.HOG0000658
12,23,13,0,0,3,0,N0.HOG0000367
3,13,9,0,0,0,0,N0.HOG0000058
5,7,9,2,3,3,2,N0.HOG0000435
3,4,3,1,1,3,1,N0.HOG0000139
1,1,6,1,1,1,1,N0.HOG0000359
1,0,1,0,0,0,0,N0.HOG0000011
7,6,7,3,2,5,2,N0.HOG0000512
5,2,2,1,0,1,0,N0.HOG0000826
6,7,12,1,2,3,1,N0.HOG0000188
4,9,17,2,4,4,2,N0.HOG0000408
5,12,11,0,0,4,0,N0.HOG0000524
0,0,1,0,0,0,0,N0.HOG0000284
9,6,6,0,0,2,0,N0.HOG0000319
1,3,3,0,0,0,0,N0.HOG0000339
0,0,1,0,0,0,0,N0.HOG0000892
0,0,4,0,0,0,0,N0.HOG0000858
2,3,4,1,1,1,1,N0.HOG0000762
5,7,6,0,0,3,0,N0.HOG0000701
7,9,14,1,3,3,1,N0.HOG0000426
12,13,8,2,0,4,0,N0.HOG0000052
5,3,10,3,2,3,2,N0.HOG0000642
6,6,11,2,3,4,2,N0.HOG0000670
5,9,8,0,0,3,0,N0.HOG0000659
3,5,3,0,1,2,0,N0.HOG0000791
4,6,7,1,0,0,0,N0.HOG0000096
3,7,2,0,1,1,0,N0.HOG0000746
18,14,13,3,3,5,3,N0.HOG0000368
4,5,4,1,3,3,1,N0.HOG0000734
7,12,18,3,4,5,3,N0.HOG0000372
3,3,3,0,0,2,0,N0.HOG0000327
3,2,2,1,1,2,1,N0.HOG0000844
0,0,5,0,0,0,0,N0.HOG0000328
14,7,15,3,3,4,3,N0.HOG0000299
1,1,6,0,0,0,0,N0.HOG0000051
11,14,12,0,0,5,0,N0.HOG0000589
4,8,7,2,2,3,2,N0.HOG0000179
0,2,0,0,0,0,0,N0.HOG0000001
2,8,1,0,1,1,0,N0.HOG0000806
4,3,5,1,1,3,1,N0.HOG0000714
4,4,9,1,1,3,1,N0.HOG0000491
2,3,5,0,1,1,0,N0.HOG0000316
12,16,9,0,1,4,0,N0.HOG0000197
0,2,1,0,0,0,0,N0.HOG0000839
0,0,1,0,0,0,0,N0.HOG0000202
11,13,14,3,3,8,3,N0.HOG0000300
4,7,10,1,1,3,1,N0.HOG0000472
7,13,13,1,3,4,1,N0.HOG0000116
11,27,18,1,3,6,1,N0.HOG0000317
3,4,3,0,1,1,0,N0.HOG0000781
2,5,8,1,0,1,0,N0.HOG0000688
0,1,1,0,0,0,0,N0.HOG0000196
12,13,3,0,0,4,0,N0.HOG0000090
7,7,12,2,2,3,1,N0.HOG0000576
9,16,7,1,1,7,1,N0.HOG0000677
5,11,3,1,1,3,1,N0.HOG0000120
4,7,9,2,2,3,2,N0.HOG0000221
7,14,11,0,1,4,0,N0.HOG0000203
3,7,5,0,3,2,0,N0.HOG0000545
10,15,12,0,0,7,0,N0.HOG0000431
5,6,8,3,2,4,2,N0.HOG0000527
5,11,11,2,2,3,2,N0.HOG0000416
2,3,3,1,2,1,1,N0.HOG0000797
14,13,8,2,4,5,2,N0.HOG0000302
0,0,1,0,0,0,0,N0.HOG0000117
6,7,8,3,2,4,2,N0.HOG0000191
5,7,4,0,0,3,0,N0.HOG0000154
3,3,5,0,0,1,0,N0.HOG0000786
0,1,1,0,1,0,0,N0.HOG0000871
4,9,16,1,1,2,1,N0.HOG0000400
0,0,2,0,0,0,0,N0.HOG0000891
7,7,10,2,2,4,2,N0.HOG0000226
1,1,6,1,1,1,1,N0.HOG0000358
0,1,0,0,0,0,0,N0.HOG0000807
12,13,7,3,3,4,2,N0.HOG0000646
0,0,1,0,0,0,0,N0.HOG0000283
4,1,0,0,0,0,0,N0.HOG0000141
0,1,0,0,0,0,0,N0.HOG0000888
3,4,9,0,1,2,0,N0.HOG0000505
10,10,5,0,0,2,0,N0.HOG0000365
1,1,0,0,0,1,0,N0.HOG0000869
7,8,13,0,0,3,0,N0.HOG0000457
2,3,8,1,1,2,1,N0.HOG0000754
4,6,6,1,3,2,1,N0.HOG0000765
6,8,10,3,3,3,3,N0.HOG0000616
11,15,12,3,4,8,3,N0.HOG0000429
0,0,1,0,0,0,0,N0.HOG0000228
0,3,4,0,1,0,0,N0.HOG0000837
1,1,0,0,0,0,0,N0.HOG0000158
9,13,14,0,1,4,0,N0.HOG0000452
0,2,1,0,0,0,0,N0.HOG0000862
2,4,3,0,0,2,0,N0.HOG0000789
2,4,2,0,0,1,0,N0.HOG0000798
8,11,12,3,3,4,2,N0.HOG0000578
2,3,1,0,0,2,0,N0.HOG0000805
5,4,11,2,3,3,2,N0.HOG0000657
3,10,10,2,3,3,2,N0.HOG0000581
4,8,9,0,0,3,0,N0.HOG0000696
0,0,1,0,0,0,0,N0.HOG0000267
5,12,15,1,1,3,1,N0.HOG0000371
3,7,13,1,3,2,1,N0.HOG0000716
1,3,4,1,2,1,1,N0.HOG0000150
4,7,10,1,2,2,1,N0.HOG0000564
9,17,12,1,4,6,1,N0.HOG0000573
6,9,12,3,2,4,2,N0.HOG0000195
0,1,1,0,1,0,0,N0.HOG0000849
8,5,6,2,2,5,2,N0.HOG0000277
5,15,8,0,0,1,0,N0.HOG0000690
8,11,14,2,3,5,2,N0.HOG0000392
0,0,1,0,0,0,0,N0.HOG0000074
10,6,8,4,4,5,4,N0.HOG0000631
5,7,12,1,2,4,1,N0.HOG0000567
2,11,10,0,1,0,0,N0.HOG0000768
2,0,1,0,0,0,0,N0.HOG0000097
2,1,4,1,1,1,1,N0.HOG0000192
0,0,2,0,0,0,0,N0.HOG0000895
5,7,7,1,1,2,1,N0.HOG0000229
6,6,6,0,0,2,0,N0.HOG0000227
8,10,9,3,2,4,2,N0.HOG0000278
4,6,3,1,2,3,1,N0.HOG0000733
6,7,11,3,3,5,3,N0.HOG0000422
0,0,1,0,0,0,0,N0.HOG0000121
3,7,8,3,3,3,3,N0.HOG0000079
4,9,11,0,0,2,0,N0.HOG0000685
2,0,0,0,0,0,0,N0.HOG0000311
4,4,5,0,0,2,0,N0.HOG0000038
2,2,0,0,0,1,0,N0.HOG0000046
1,2,1,1,1,1,1,N0.HOG0000771
13,18,13,1,1,4,1,N0.HOG0000433
7,10,11,1,1,4,0,N0.HOG0000626
0,0,2,0,0,0,0,N0.HOG0000898
1,0,1,0,0,0,0,N0.HOG0000884
1,2,1,0,1,1,0,N0.HOG0000852
12,18,13,2,0,4,0,N0.HOG0000434
0,0,2,0,0,0,0,N0.HOG0000314
8,7,12,2,2,5,2,N0.HOG0000518
1,1,0,0,0,1,0,N0.HOG0000109
12,15,25,0,0,8,0,N0.HOG0000235
4,3,1,0,0,2,0,N0.HOG0000305
4,5,7,1,0,1,0,N0.HOG0000725
1,0,0,0,0,0,0,N0.HOG0000138
0,1,2,0,0,0,0,N0.HOG0000252
7,12,10,1,1,3,1,N0.HOG0000672
14,23,11,3,3,5,3,N0.HOG0000403
0,0,1,0,0,0,0,N0.HOG0000094
5,7,13,1,1,2,1,N0.HOG0000450
1,4,4,1,1,1,1,N0.HOG0000777
13,15,12,3,3,6,3,N0.HOG0000409
3,5,3,1,1,2,1,N0.HOG0000773
1,1,1,0,0,1,0,N0.HOG0000020
2,2,1,0,1,1,0,N0.HOG0000784
9,16,19,2,2,7,2,N0.HOG0000377
2,2,4,1,0,1,0,N0.HOG0000296
3,7,3,0,0,2,0,N0.HOG0000183
10,14,23,1,4,1,1,N0.HOG0000334
7,7,12,3,3,6,3,N0.HOG0000461
5,8,7,2,3,3,2,N0.HOG0000689
3,2,4,0,0,0,0,N0.HOG0000320
12,16,21,2,5,7,2,N0.HOG0000180
8,9,12,2,3,4,1,N0.HOG0000440
10,14,11,2,3,6,2,N0.HOG0000637
13,11,6,1,1,5,1,N0.HOG0000599
2,5,8,0,1,2,0,N0.HOG0000233
5,5,12,1,1,3,1,N0.HOG0000386
0,0,2,0,0,0,0,N0.HOG0000346
0,0,1,0,0,0,0,N0.HOG0000348
4,5,8,2,2,3,1,N0.HOG0000494
2,2,12,1,2,1,1,N0.HOG0000556
4,3,8,2,2,3,2,N0.HOG0000424
1,3,6,1,1,1,1,N0.HOG0000772
2,3,6,1,1,2,1,N0.HOG0000780
0,0,0,0,0,0,0,N0.HOG0000876
5,4,4,0,0,2,0,N0.HOG0000381
8,12,7,0,0,1,0,N0.HOG0000040
7,10,11,1,1,3,0,N0.HOG0000125
6,4,10,1,2,3,1,N0.HOG0000539
7,7,3,2,1,4,1,N0.HOG0000273
2,5,9,0,1,2,0,N0.HOG0000579
0,2,0,0,0,0,0,N0.HOG0000199
4,8,10,2,3,2,2,N0.HOG0000570
2,4,4,1,1,2,1,N0.HOG0000736
10,9,13,0,1,3,0,N0.HOG0000475
2,3,6,0,0,1,0,N0.HOG0000351
2,8,4,0,1,1,0,N0.HOG0000062
9,14,11,3,4,5,3,N0.HOG0000554
9,7,12,4,4,5,4,N0.HOG0000549
3,4,6,0,1,2,0,N0.HOG0000534
9,8,14,3,3,6,3,N0.HOG0000072
5,5,0,0,0,0,0,N0.HOG0000312
13,17,19,2,1,3,1,N0.HOG0000048
0,2,3,0,0,0,0,N0.HOG0000060
9,18,12,0,3,5,0,N0.HOG0000580
6,6,4,3,2,3,2,N0.HOG0000681
5,9,11,0,1,4,0,N0.HOG0000467
1,1,1,1,1,1,1,N0.HOG0000375
0,2,4,0,0,0,0,N0.HOG0000843
0,0,1,0,0,0,0,N0.HOG0000875
5,4,2,1,0,1,0,N0.HOG0000799
0,3,2,0,0,0,0,N0.HOG0000857
1,3,5,1,1,1,1,N0.HOG0000376
8,10,11,2,2,4,2,N0.HOG0000194
3,4,6,0,1,1,0,N0.HOG0000804
1,3,3,1,1,1,1,N0.HOG0000247
5,7,7,1,2,3,1,N0.HOG0000675
15,17,18,2,3,8,2,N0.HOG0000242
3,4,8,2,2,2,1,N0.HOG0000645
3,8,4,0,0,3,0,N0.HOG0000704
4,9,8,1,1,2,0,N0.HOG0000759
1,8,10,0,1,0,0,N0.HOG0000779
2,6,0,0,0,0,0,N0.HOG0000156
5,8,11,2,3,3,2,N0.HOG0000469
1,1,1,1,1,1,1,N0.HOG0000114
8,16,16,0,0,4,0,N0.HOG0000335
3,6,10,3,3,3,3,N0.HOG0000550
